Ticker,Book Value,Close
GILLANDERS.NS,133.269,46.85
GILLETTE.NS,279.661,5829.0
GINNIFILA.NS,26.311,21.45
GIPCL.NS,189.579,85.75
GISOLUTION.NS,7.982,2.7
GITANJALI.NS,560.95,1.05
GKWLIMITED.NS,268.86,545.1
GLAXO.NS,78.279,1619.0
GLENMARK.NS,230.115,498.9
GLFL.NS,-2.443,2.35
GLOBALVECT.NS,56.551,55.05
GLOBOFFS.NS,-167.168,9.7
GLOBUSSPR.NS,173.211,310.3
GMBREW.NS,239.303,427.65
GMDCLTD.NS,141.804,50.15
GMRINFRA.NS,-0.02,25.95
GNFC.NS,349.836,230.4
GOACARBON.NS,75.467,272.8
GOCLCORP.NS,183.806,198.9
GODFRYPHLP.NS,450.223,979.95
GODREJCP.NS,84.64,727.25
GODREJIND.NS,180.436,443.85
GODREJPROP.NS,189.143,1424.2
GOENKA.NS,7.466,0.9
GOKEX.NS,52.774,88.4
GOKUL.NS,23.822,17.4
GOKULAGRO.NS,23.837,17.95
GOLDENTOBC.NS,-121.945,54.75
GOLDIAM.NS,192.009,241.85
GOLDTECH.NS,27.001,10.2
GOODLUCK.NS,155.11,55.4
GPIL.NS,421.916,460.25
GPPL.NS,45.95,93.1
GRANULES.NS,76.981,372.6
GRAPHITE.NS,233.103,306.25
GRASIM.NS,917.612,906.65
GRAVITA.NS,34.441,69.05
GREAVESCOT.NS,32.145,84.35
GREENLAM.NS,211.747,797.95
GREENPLY.NS,31.131,112.3
GREENPOWER.NS,6.791,2.45
GRINDWELL.NS,107.256,740.05
GRPLTD.NS,931.113,870.2
GSCLCEMENT.NS,45.344,37.45
GSFC.NS,191.79,73.25
GSKCONS.NS,989.489,10732.6
GSPL.NS,86.616,222.55
GSS.NS,83.869,54.35
GTL.NS,-473.867,5.35
GTLINFRA.NS,-0.368,0.75
GTNIND.NS,29.57,13.95
GTNTEX.NS,61.875,6.45
GUFICBIO.NS,13.943,117.1
GUJALKALI.NS,659.003,356.9
GUJAPOLLO.NS,389.526,206.25
GUJGASLTD.NS,54.709,375.1
GULFOILLUB.NS,153.988,730.95
GULFPETRO.NS,43.562,45.95
GULPOLY.NS,69.823,78.75
GVKPIL.NS,-9.396,2.95
HARITASEAT.NS,234.474,482.65
HARRMALAYA.NS,42.711,118.05
HATHWAY.NS,22.183,33.3
HATSUN.NS,55.498,720.5
HAVELLS.NS,75.188,903.6
HBLPOWER.NS,26.267,36.8
HCC.NS,-5.023,9.0
HCG.NS,42.954,165.65
HCL-INSYS.NS,-4.927,8.95
HCLTECH.NS,2.845,921.8
HDFC.NS,814.73,2476.45
HDFCBANK.NS,348.753,1412.85
HDIL.NS,261.911,6.9
HEG.NS,909.884,933.8
HEIDELBERG.NS,56.851,219.55
HERCULES.NS,121.863,121.9
HERITGFOOD.NS,119.604,302.35
HEROMOTOCO.NS,746.688,3082.6
HESTERBIO.NS,245.232,1720.6
HEXATRADEX.NS,43.179,33.25
HEXAWARE.NS,100.092,470.8
HFCL.NS,13.685,26.5
HGS.NS,912.004,1143.75
HIKAL.NS,69.245,168.5
HIL.NS,1193.797,2171.85
HILTON.NS,50.379,11.85
HIMATSEIDE.NS,126.731,142.3
HINDALCO.NS,268.135,239.9
HINDCOMPOS.NS,528.851,223.35
HINDCOPPER.NS,10.85,60.5
HINDMOTORS.NS,-1.482,7.8
HINDNATGLS.NS,-13.927,36.2
HINDOILEXP.NS,51.398,90.5
HINDPETRO.NS,228.586,215.2
HINDSYNTEX.NS,-1.613,1.45
HINDUNILVR.NS,199.277,2388.9
HINDZINC.NS,86.692,241.8
HIRECT.NS,59.042,146.05
HITECHGEAR.NS,147.015,148.0
HMT.NS,-132.251,22.15
HMVL.NS,206.335,56.5
HONAUT.NS,2607.255,37380.25
HONDAPOWER.NS,561.389,1051.5
HOVS.NS,26.797,37.0
HSIL.NS,173.262,114.2
HTMEDIA.NS,99.508,15.65
HUBTOWN.NS,146.411,14.35
IBREALEST.NS,68.907,78.35
IBULHSGFIN.NS,376.791,216.9
