Ticker,Book Value,LTP
GITANJALI.NS,560.95,1.05
GLFL.NS,-2.443,2.35
GLOBOFFS.NS,-167.168,9.7
GMDCLTD.NS,141.804,50.15
GMRINFRA.NS,-0.02,25.95
GOENKA.NS,7.466,0.9
GOLDENTOBC.NS,-121.945,54.75
GOLDTECH.NS,27.001,10.2
GOODLUCK.NS,155.11,55.4
GREENPOWER.NS,6.791,2.45
GSFC.NS,191.79,73.25
GTL.NS,-473.867,5.35
GTLINFRA.NS,-0.368,0.75
GTNIND.NS,29.57,13.95
GTNTEX.NS,61.875,6.45
GVKPIL.NS,-9.396,2.95
HCC.NS,-5.023,9.0
HCL-INSYS.NS,-4.927,8.95
HDIL.NS,261.911,6.9
HILTON.NS,50.379,11.85
HINDCOMPOS.NS,528.851,223.35
HINDMOTORS.NS,-1.482,7.8
HINDNATGLS.NS,-13.927,36.2
HINDSYNTEX.NS,-1.613,1.45
HMT.NS,-132.251,22.15
HMVL.NS,206.335,56.5
HTMEDIA.NS,99.508,15.65
HUBTOWN.NS,146.411,14.35
ICSA.NS,-293.432,0.2
IDEA.NS,-9.292,10.4
IFCI.NS,30.973,9.2
IITL.NS,150.142,68.65
IMPEXFERRO.NS,-26.272,1.05
INDIANB.NS,331.391,88.45
INDLMETER.NS,117.159,17.3
INDOSOLAR.NS,-26.379,1.65
INDOWIND.NS,22.259,3.9
INDSWFTLTD.NS,-132.812,3.85
INFOMEDIA.NS,-8.413,4.3
INTEGRA.NS,-8.797,1.5
ISMTLTD.NS,-76.083,11.7
IZMO.NS,159.627,48.8
JAIBALAJI.NS,-160.343,17.8
JAIHINDPRO.NS,-356.482,1.55
JAINSTUDIO.NS,12.239,1.85
JAYNECOIND.NS,-12.627,5.05
JBFIND.NS,46.358,13.1
JETAIRWAYS.NS,-628.459,104.55
JIKIND.NS,-3.156,0.7
JINDALSAW.NS,212.272,78.1
JINDCOT.NS,17.33,1.45
JINDRILL.NS,440.287,84.75
JISLDVREQS.NS,60.217,12.55
JISLJALEQS.NS,60.217,19.0
JPINFRATEC.NS,-17.508,2.0
JPPOWER.NS,9.153,3.3
JVLAGRO.NS,-77.688,0.65
JYOTISTRUC.NS,-668.612,5.5
KAMATHOTEL.NS,-52.15,37.75
KANORICHEM.NS,130.375,43.2
KAUSHALYA.NS,11.235,1.6
KAVVERITEL.NS,7.892,1.65
KECL.NS,-11.633,13.7
KESORAMIND.NS,-12.217,62.0
KGL.NS,8.704,0.3
KHAITANLTD.NS,50.177,17.7
KICL.NS,7858.069,1407.9
KOHINOOR.NS,-143.771,8.7
KOTHARIPRO.NS,392.466,67.95
KRIDHANINF.NS,13.008,3.7
KSK.NS,-53.068,0.65
KWALITY.NS,-86.613,3.1
LAKPRE.NS,23.595,4.8
LAKSHVILAS.NS,21.384,7.65
LOKESHMACH.NS,76.617,36.15
LYKALABS.NS,-8.695,25.6
LYPSAGEMS.NS,43.404,4.6
MADHAV.NS,145.233,38.3
MADHUCON.NS,81.261,5.7
MADRASFERT.NS,-40.257,19.9
MAGMA.NS,105.012,42.6
MAGNUM.NS,-11.132,4.65
MAHSCOOTER.NS,9668.146,3848.6
MAJESCO.NS,1080.58,13.4
MANAKCOAT.NS,14.094,6.95
MANAKSIA.NS,150.8,58.45
MANGTIMBER.NS,-33.697,9.05
MANPASAND.NS,39.998,5.85
MANUGRAPH.NS,50.1,11.6
MAWANASUG.NS,67.395,33.65
MBLINFRA.NS,72.226,20.0
MCDHOLDING.NS,310.175,33.9
MCLEODRUSS.NS,183.537,21.35
MEGASOFT.NS,31.71,9.2
MELSTAR.NS,-1.088,2.3
MERCATOR.NS,-39.747,1.0
METALFORGE.NS,-259.27,5.65
MIC.NS,-6.037,1.05
MOHITIND.NS,23.554,6.65
MRO-TEK.NS,-3.245,35.7
MTEDUCARE.NS,23.926,10.75
MTNL.NS,-235.033,13.8
MUKANDENGG.NS,-24.241,12.25
MURUDCERA.NS,62.861,20.95
MVL.NS,2.553,0.05
NAGAROIL.NS,-0.62,0.2
NAGREEKCAP.NS,17.343,5.7
NAGREEKEXP.NS,85.181,19.0
NAHARCAP.NS,552.41,92.2
NAHARINDUS.NS,175.112,47.8
NAHARSPING.NS,208.642,78.4
NAKODA.NS,23.442,0.1
NATNLSTEEL.NS,-255.452,3.2
NAVKARCORP.NS,120.037,41.3
NBVENTURES.NS,263.296,59.65
NDL.NS,102.126,27.05
NECLIFE.NS,50.111,21.5
NEXTMEDIA.NS,-1.078,5.95
NIBL.NS,-3.926,10.65
NITCO.NS,-0.028,25.1
NITINFIRE.NS,11.778,0.75
NKIND.NS,-489.777,21.45
OIL.NS,255.161,111.15
OILCOUNTUB.NS,-5.489,6.3
OISL.NS,-31.618,2.85
OMAXAUTO.NS,126.826,43.55
OMKARCHEM.NS,-78.88,9.5
OMMETALS.NS,26922.79,19.95
ONELIFECAP.NS,61.518,6.55
OPTOCIRCUI.NS,-2.528,5.65
ORICONENT.NS,56.516,22.4
ORIENTALTL.NS,36.301,11.0
ORIENTPPR.NS,59.509,20.6
ORTEL.NS,-16.757,1.1
PAEL.NS,-37.199,2.35
PANACEABIO.NS,-22.13,231.35
PARABDRUGS.NS,-148.499,4.45
PATELENG.NS,58.65,15.25
PATINTLOG.NS,71.983,32.75
PCJEWELLER.NS,98.005,25.15
PDPL.NS,-188.247,2.6
PETRONENGG.NS,-6.386,5.25
PILANIINVS.NS,8271.333,2824.65
PIONDIST.NS,-142.259,112.25
PKTEA.NS,556.318,213.0
PNB.NS,93.539,32.4
PNC.NS,56.033,20.4
PONNIERODE.NS,338.289,161.95
PRADIP.NS,-177.239,0.7
PRAENG.NS,84.211,11.4
PRAKASH.NS,168.183,53.2
PRAKASHSTL.NS,-16.139,0.95
PRECOT.NS,253.137,74.35
PREMIER.NS,-78.911,3.85
PSB.NS,78.285,13.55
PSL.NS,-233.594,0.45
PTC.NS,145.501,57.9
PUNJLLOYD.NS,-61.115,2.05
QUINTEGRA.NS,-4.822,0.95
RAINBOWPAP.NS,-22.356,0.15
RAJRAYON.NS,-17.166,0.3
RAJVIR.NS,-234.399,10.5
RAMSARUP.NS,-461.308,0.85
RCOM.NS,-175.479,2.0
REGENCERAM.NS,-24.334,0.95
RELCAPITAL.NS,-225.767,12.55
RELINFRA.NS,349.183,27.85
RENUKA.NS,-2.638,12.35
RKDL.NS,27.492,9.15
RMCL.NS,-3.451,3.2
ROHITFERRO.NS,-173.862,1.3
ROLTA.NS,-158.512,5.6
RPOWER.NS,42.827,3.5
RPPINFRA.NS,115.853,51.8
RSWM.NS,313.087,137.8
RTNPOWER.NS,-0.972,2.45
SABTN.NS,-9.216,1.95
SAKHTISUG.NS,-22.597,10.6
SAKUMA.NS,15.927,7.15
SAMBHAAV.NS,5.541,2.15
SANGHIIND.NS,66.804,31.4
SANGHVIFOR.NS,-22.581,24.0
SANWARIA.NS,8.873,1.35
SATHAISPAT.NS,-134.323,2.8
SATIN.NS,268.281,72.25
SCHNEIDER.NS,-0.848,84.25
SDBL.NS,89.146,30.55
SELMCL.NS,-97.738,2.15
SEZAL.NS,-39.681,3.45
SGL.NS,-4.322,8.0
SHAHALLOYS.NS,-10.724,9.05
